,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,ndwi,b_g,b_r,mci,ndci,y,x,spatial_ref,time
158,6,0.0209,0.0777,0.1092,0.1373,0.075322114,2.9614566e-06,1.9940906e-05,0.0033999998,0.0186,0.0155,0.0150999995,0.014099999,0.0731,0.074099995,0.023899999,0.025999999,0.80183727,-0.2772093,-0.19802523,-0.5760649,0.73577756,0.7953387,1.4054055,0.2820513,-0.023715425,-1957845.0,3063485.0,3832,2024-01-01
159,6,0.021399999,0.078099996,0.1104,0.1397,0.077138446,2.8478205e-06,2.1852293e-05,0.0033999998,0.019,0.015899999,0.0155,0.014099999,0.0734,0.074999996,0.0241,0.0265,0.80025774,-0.2828283,-0.20130578,-0.56984925,0.7343265,0.79026484,1.4135724,0.28533334,-0.020248208,-1957855.0,3063485.0,3832,2024-01-01
160,6,0.0231,0.066,0.090799995,0.111899994,0.07357706,3.5749495e-06,2.3318727e-05,0.0034999999,0.0195,0.0173,0.016999999,0.0154,0.062299997,0.0721,0.0246,0.0267,0.73622966,-0.25801012,-0.18615285,-0.48148146,0.6577778,0.8114388,1.3757575,0.32038835,0.044170883,-1957815.0,3063485.0,3832,2024-01-01
161,6,0.025899999,0.0547,0.0725,0.0907,0.07713386,4.110968e-06,2.741718e-05,0.0034999999,0.0201,0.0176,0.0176,0.015899999,0.062699996,0.067999996,0.0263,0.0279,0.67497694,-0.24759285,-0.07248522,-0.35732013,0.55574614,0.79933846,1.3254113,0.38088235,0.10839445,-1957795.0,3063485.0,3832,2024-01-01
162,6,0.0279,0.0534,0.0695,0.087,0.08475999,4.087239e-06,2.9199386e-05,0.0036,0.0231,0.019399999,0.0191,0.0173,0.065,0.0683,0.0296,0.0317,0.6399624,-0.23931624,-0.03345726,-0.31365314,0.5143603,0.7988506,1.3014982,0.40849194,0.12243223,-1957785.0,3063485.0,3832,2024-01-01
163,6,0.024699999,0.060099997,0.0806,0.1003,0.074176066,3.8519083e-06,2.4271001e-05,0.0034999999,0.02,0.0174,0.0175,0.0158,0.0626,0.067999996,0.0263,0.0279,0.7028863,-0.25062346,-0.12569831,-0.41745278,0.6048,0.8035892,1.3410983,0.3632353,0.06167057,-1957805.0,3063485.0,3832,2024-01-01
164,6,0.0209,0.0777,0.1092,0.1373,0.075322114,2.9614566e-06,1.9940906e-05,0.0033999998,0.0186,0.0155,0.0150999995,0.014099999,0.0731,0.074099995,0.023899999,0.025999999,0.80183727,-0.2772093,-0.19802523,-0.5760649,0.73577756,0.7953387,1.4054055,0.2820513,-0.023715425,-1957845.0,3063485.0,3832,2024-01-01
165,6,0.021399999,0.078099996,0.1104,0.1397,0.077138446,2.8478205e-06,2.1852293e-05,0.0033999998,0.019,0.015899999,0.0155,0.014099999,0.0734,0.074999996,0.0241,0.0265,0.80025774,-0.2828283,-0.20130578,-0.56984925,0.7343265,0.79026484,1.4135724,0.28533334,-0.020248208,-1957855.0,3063485.0,3832,2024-01-01
166,6,0.025899999,0.0547,0.0725,0.0907,0.07713386,4.110968e-06,2.741718e-05,0.0034999999,0.0201,0.0176,0.0176,0.015899999,0.062699996,0.067999996,0.0263,0.0279,0.67497694,-0.24759285,-0.07248522,-0.35732013,0.55574614,0.79933846,1.3254113,0.38088235,0.10839445,-1957795.0,3063485.0,3832,2024-01-01
167,6,0.0279,0.0534,0.0695,0.087,0.08475999,4.087239e-06,2.9199386e-05,0.0036,0.0231,0.019399999,0.0191,0.0173,0.065,0.0683,0.0296,0.0317,0.6399624,-0.23931624,-0.03345726,-0.31365314,0.5143603,0.7988506,1.3014982,0.40849194,0.12243223,-1957785.0,3063485.0,3832,2024-01-01
