,cc_id,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,cai,ndvi,evi,savi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,ln_bg,glcm_mean
772,2,0.21319999,0.086799994,0.063999996,0.0824,0.10978889,5.530417e-07,8.091989e-06,0.2402,0.2488,0.2631,0.1874,0.0668,0.13159999,0.1867,0.2126,0.02140675,0.42133334,0.3558214,0.42133334,-0.2581293,-0.52301013,0.026004683,0.77669895,0.73732716,1.6200608,0.20512821,-0.25270244,40.04762
773,2,0.053999998,0.1251,0.1457,0.1757,0.110767126,2.4009942e-06,2.1570511e-05,0.0486,0.056399997,0.038799997,0.0346,0.078899994,0.113699995,0.0557,0.0592,-0.29741764,-0.39698493,0.013907407,-0.39698493,0.26423535,0.6382284,-0.16821806,0.8292544,1.1646682,0.47493404,-0.047738723,-0.1872283,41.833332
774,2,0.21319999,0.086799994,0.063999996,0.0824,0.10978889,5.530417e-07,8.091989e-06,0.2402,0.2488,0.2631,0.1874,0.0668,0.13159999,0.1867,0.2126,0.02140675,0.42133334,0.3558214,0.42133334,-0.2581293,-0.52301013,0.026004683,0.77669895,0.73732716,1.6200608,0.20512821,-0.25270244,40.04762
775,2,0.21319999,0.086799994,0.063999996,0.0824,0.10978889,5.530417e-07,8.091989e-06,0.2402,0.2488,0.2631,0.1874,0.0668,0.13159999,0.1867,0.2126,0.02140675,0.42133334,0.3558214,0.42133334,-0.2581293,-0.52301013,0.026004683,0.77669895,0.73732716,1.6200608,0.20512821,-0.25270244,40.04762
776,2,0.0607,0.1291,0.1427,0.1704,0.13286012,3.2848536e-06,2.4701782e-05,0.0519,0.0591,0.0398,0.035,0.0796,0.114099994,0.059699997,0.0635,-0.28385067,-0.36037934,0.029605916,-0.36037934,0.237675,0.621313,-0.1378965,0.8374414,1.1053448,0.5319895,-0.06167764,-0.177404,46.27381
777,2,0.0766,0.1397,0.1453,0.1776,0.15491208,3.3198057e-06,2.6848584e-05,0.061499998,0.066199996,0.042799998,0.0368,0.0867,0.121599995,0.069699995,0.0758,-0.25258622,-0.29172444,0.06278409,-0.29172444,0.211416,0.6116153,-0.119445324,0.8181307,1.0400859,0.62993425,-0.069269046,-0.20073323,46.38095
778,2,0.094,0.151,0.15259999,0.1838,0.18945165,4.0267823e-06,2.4428295e-05,0.0731,0.0699,0.0468,0.0383,0.088,0.144,0.0836,0.0894,-0.2684954,-0.23265305,0.09818818,-0.23265305,0.1816866,0.5941023,-0.09796894,0.8302502,1.010596,0.6527778,-0.023728812,-0.18602815,51.54762
779,2,0.106,0.1558,0.15619999,0.1875,0.20605332,5.0264475e-06,2.5939313e-05,0.094399996,0.0762,0.058,0.0448,0.094,0.1609,0.104399994,0.1113,-0.24860112,-0.19022155,0.1256183,-0.19022155,0.1613056,0.5274949,-0.09233907,0.83306664,1.0025673,0.6587943,0.01610356,-0.18264164,52.416668
780,2,0.0984,0.1299,0.1218,0.1436,0.18873283,2.8071045e-06,1.8298882e-05,0.1191,0.110199995,0.0872,0.060999997,0.0888,0.1463,0.1169,0.1245,-0.15669516,-0.13797633,0.120398216,-0.13797633,0.09633672,0.24436742,-0.050091438,0.8481894,0.93764436,0.67259055,0.059377298,-0.16465129,46.02381
781,2,0.13859999,0.1567,0.1325,0.1611,0.1892663,2.665496e-06,1.4790061e-05,0.1191,0.1114,0.0866,0.0602,0.0875,0.14639999,0.1171,0.125,-0.20454542,-0.061293628,0.1749228,-0.061293628,0.044152826,0.30076706,-0.013845186,0.8224705,0.8455647,0.9467213,-0.03398222,-0.19544269,44.583332
782,2,0.24759999,0.2263,0.1687,0.2085,0.13566934,8.512795e-07,1.2775291e-05,0.1741,0.107499994,0.12619999,0.085599996,0.0861,0.18069999,0.1619,0.1748,-0.32417583,0.044946168,0.29302686,0.044946168,-0.063154384,0.24589187,0.04093837,0.80911267,0.7454706,1.3702269,-0.11203934,-0.2118171,37.559525
783,2,0.274,0.1757,0.1259,0.1637,0.08680823,4.761219e-07,6.377431e-06,0.24219999,0.2012,0.1407,0.0865,0.0616,0.1638,0.205,0.22919999,-0.34293333,0.21859016,0.36800462,0.21859016,-0.18194339,0.07555848,0.035356496,0.7690898,0.71656233,1.6727716,-0.035051525,-0.26254752,34.42857
784,2,0.24759999,0.2263,0.1687,0.2085,0.13566934,8.512795e-07,1.2775291e-05,0.1741,0.107499994,0.12619999,0.085599996,0.0861,0.18069999,0.1619,0.1748,-0.32417583,0.044946168,0.29302686,0.044946168,-0.063154384,0.24589187,0.04093837,0.80911267,0.7454706,1.3702269,-0.11203934,-0.2118171,37.559525
