,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,cai,ndvi,evi,savi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,ln_bg,glcm_contrast,glcm_homogeneity,glcm_entropy,glcm_energy,glcm_correlation,glcm_mean
105,2,0.0199,0.0363,0.061699998,0.068399996,0.06585967,4.931393e-06,2.5064668e-05,0.0052,0.0212,0.025899999,0.019199999,0.0165,0.062099997,0.0546,0.0244,0.027099999,0.0032310125,-0.29181495,0.017355958,-0.29181495,0.13414292,0.56164384,-0.30659023,0.9020468,1.6997244,0.36446884,0.20132013,-0.10308887,10.0,0.26919198,5.8981533,0.134687,0.8188279,37.738094
106,2,0.0219,0.0263,0.067,0.062299997,0.07100019,5.9391855e-06,3.5414552e-05,0.0053,0.022499999,0.0289,0.0245,0.0213,0.060799997,0.0262,0.0224,0.0234,-0.048513334,-0.09128631,0.04201122,-0.09128631,0.11263412,0.4354839,-0.40632054,1.0754415,2.5475285,0.83587784,-0.0019047586,0.07273126,7.3095236,0.33034614,5.7669683,0.14869043,0.8469836,35.67857
107,2,0.019,0.024899999,0.0642,0.0609,0.06389217,5.912435e-06,3.27275e-05,0.0053,0.019299999,0.0262,0.021,0.0184,0.0578,0.024899999,0.019199999,0.020499999,-0.05245902,-0.13439634,0.03290144,-0.13439634,0.117805086,0.48717946,-0.4195804,1.0541872,2.5783134,0.7630522,0.0,0.05277002,5.428571,0.39741436,5.743159,0.15152287,0.9239698,34.11905
108,2,0.0186,0.027199998,0.0676,0.0689,0.06251903,5.463743e-06,3.0483483e-05,0.0053,0.019299999,0.0263,0.0202,0.0176,0.057299998,0.0253,0.0184,0.0197,-0.08246597,-0.18777288,0.028601069,-0.18777288,0.13933732,0.54657686,-0.433923,0.9811321,2.485294,0.7351779,-0.03619045,-0.019048179,6.9761906,0.3280406,5.8122096,0.14677176,0.8797978,35.20238
109,2,0.0185,0.024,0.0616,0.0591,0.0636371,5.896628e-06,3.1072206e-05,0.0053,0.019399999,0.0265,0.020399999,0.0178,0.0576,0.0255,0.0185,0.0199,-0.033557054,-0.12941176,0.031763025,-0.12941176,0.11466931,0.48679247,-0.42238265,1.0423012,2.5666666,0.7254902,0.030303016,0.04143094,6.404762,0.3478453,5.9399366,0.13780758,0.9113058,33.535713
110,2,0.018,0.0275,0.0664,0.0674,0.062116917,5.344492e-06,3.2358024e-05,0.0053,0.0197,0.0264,0.0206,0.0185,0.061899997,0.0252,0.0188,0.0202,-0.03507406,-0.20879123,0.025547443,-0.20879123,0.13740396,0.5318182,-0.42044258,0.98516315,2.4145455,0.7142857,-0.043643262,-0.014948014,8.023809,0.26677936,5.4429293,0.17333595,0.7164976,37.559525
111,2,0.0178,0.0275,0.066199996,0.0668,0.062439226,4.78453e-06,3.2287706e-05,0.0050999997,0.0201,0.0257,0.020299999,0.0185,0.062099997,0.0278,0.0185,0.021,-0.03195634,-0.21412805,0.024770508,-0.21412805,0.13650408,0.5338691,-0.41675502,0.99101794,2.4072726,0.64028776,0.0054249456,-0.009022645,9.547619,0.3512884,5.5857863,0.16322987,0.7552942,37.059525
112,2,0.0179,0.0252,0.062699996,0.0589,0.062419273,5.2897453e-06,3.41735e-05,0.0050999997,0.020299999,0.025899999,0.020499999,0.0186,0.062299997,0.027999999,0.0186,0.0211,-0.0031999948,-0.16937357,0.027974525,-0.16937357,0.11598256,0.48362726,-0.40071338,1.0645161,2.488095,0.63928574,0.05263156,0.0625203,10.261905,0.3466744,5.4609027,0.17496355,0.7619708,36.27381
113,2,0.0222,0.0262,0.0689,0.0616,0.07415518,6.1153587e-06,3.485015e-05,0.0053,0.0233,0.0307,0.024699999,0.0221,0.0641,0.025899999,0.022599999,0.0241,-0.036090225,-0.08264464,0.044216402,-0.08264464,0.109932005,0.4275782,-0.40318906,1.1185064,2.6297708,0.85714287,-0.0057581835,0.11199425,8.285714,0.2959835,5.9399366,0.13149239,0.6530903,37.714287
114,2,0.02,0.028299998,0.064899996,0.0613,0.06782229,5.5030287e-06,3.7547878e-05,0.0053,0.0223,0.0278,0.023699999,0.0212,0.0587,0.0274,0.021599999,0.022799999,-0.05016179,-0.17184263,0.03086551,-0.17184263,0.115798935,0.44235298,-0.3683036,1.0587275,2.293286,0.729927,-0.016157962,0.057067715,7.8095236,0.30330673,5.9039893,0.13573517,0.856846,33.761906
115,2,0.022599999,0.0278,0.0652,0.06,0.074116625,5.648285e-06,3.60429e-05,0.0053999997,0.0233,0.029399998,0.024699999,0.0218,0.06,0.027099999,0.0229,0.024,-0.041533563,-0.10317462,0.04097658,-0.10317462,0.10459695,0.4167651,-0.36674264,1.0866667,2.3453238,0.8339483,-0.012750468,0.08311494,7.547619,0.3078453,5.874344,0.13780758,0.87580395,33.416668
116,2,0.023599999,0.043199997,0.066599995,0.075399995,0.064290464,3.8955836e-06,2.536795e-05,0.0052,0.0202,0.024999999,0.0189,0.0165,0.062099997,0.048299998,0.021599999,0.024,-0.034965023,-0.29341316,0.020171069,-0.29341316,0.14036128,0.5991516,-0.27150083,0.8832891,1.5416666,0.48861283,0.05573771,-0.12410273,14.380953,0.33721116,5.7611322,0.14773421,0.6556349,39.690475
117,2,0.022499999,0.041699998,0.066,0.074099995,0.062157646,4.0543196e-06,2.5602963e-05,0.0050999997,0.0207,0.022799999,0.0178,0.015299999,0.0607,0.056399997,0.0244,0.027099999,-0.0418311,-0.2990654,0.018709015,-0.2990654,0.140459,0.61262244,-0.27979273,0.8906883,1.5827339,0.39893618,0.1498471,-0.115760736,14.523809,0.34105504,5.969582,0.13363062,0.7871563,37.97619
118,2,0.0253,0.0448,0.0664,0.073699996,0.06800148,4.1601447e-06,2.601474e-05,0.0052,0.021,0.0252,0.019299999,0.0164,0.062299997,0.0528,0.023799999,0.025999999,-0.031857055,-0.27817404,0.02317548,-0.27817404,0.13114837,0.5849462,-0.24388185,0.90094984,1.4821429,0.47916666,0.08196723,-0.1043057,10.738095,0.33526027,5.7611322,0.14773421,0.6582193,40.36905
119,2,0.021699999,0.0334,0.0637,0.0647,0.06785245,5.1320194e-06,3.1249172e-05,0.0052,0.022799999,0.0287,0.022599999,0.0196,0.0634,0.0363,0.0229,0.024799999,-0.0023603276,-0.21234122,0.02801101,-0.21234122,0.11937014,0.48224512,-0.3190622,0.98454404,1.9071857,0.5977961,0.041606896,-0.01557665,17.452381,0.23123464,5.963746,0.13041013,0.6436042,35.77381
120,2,0.0243,0.0341,0.0717,0.074999996,0.07312486,6.1364353e-06,3.0591254e-05,0.0053,0.022499999,0.029399998,0.0235,0.020299999,0.061499998,0.0314,0.0222,0.0235,-0.07657659,-0.16780823,0.038558923,-0.16780823,0.13730247,0.5228426,-0.37488538,0.95600003,2.1026392,0.77388537,-0.04122139,-0.044997334,10.547619,0.31080726,5.7018414,0.14773421,0.7135842,39.940475
