,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,cai,ndvi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,y,x
nir09,0.10842446996491309,0.6635418373292928,0.43113205758578804,0.242825321070654,0.2749949312596824,0.5667500733001193,-0.37431503024747326,-0.10544015642761068,-0.22485705395624972,0.720869547450539,1.0,0.6469504809289202,0.5730938837918523,0.365575584633904,0.41535541735583004,0.67654739660045,0.674852077300139,0.010471405106621614,0.29247260767432554,-0.31437436590526086,-0.43185111453408054,0.2992766209678624,-0.3206308497845614,-0.47012372813004916,0.24345358660137564,0.06792987171315573,0.39425834977585844,-0.3901635051030887
swir16,0.38325645427365945,0.7933372564868755,0.6018354442556862,0.508956639760589,0.5073622647264157,0.8659644469636989,-0.657408051230021,-0.058524346246249914,-0.2216605151749899,0.8848703804887186,0.6469504809289202,1.0,0.9867311739080863,0.6193261064630143,0.4871186153673995,0.8396499108740513,0.7749020225526395,-0.16366194253134506,0.21172864985743511,-0.15406580021554991,-0.5872973681307072,0.08459426046776923,-0.4463074716682088,-0.46435384622710696,0.23457289114590288,-0.1351810407880927,0.8650384146917659,-0.862536566484136
swir22,0.4088908472877545,0.7461925714371488,0.5697257945311122,0.5191957719384735,0.4991193458279514,0.8785699191307462,-0.6393905998663278,0.001568527897480987,-0.17733727648974562,0.8270429931452389,0.5730938837918523,0.9867311739080863,1.0,0.6393544215976287,0.4298725805662521,0.7861819200280658,0.7077718679220952,-0.1535435500161622,0.19502575783257442,-0.11911302558017275,-0.5832687026334069,0.032631584564240895,-0.40692971896870256,-0.40568907806244864,0.24730507079479097,-0.1979308438607852,0.9004472661091077,-0.8966388447760449
coastal,0.24480993118649333,0.5030168746241869,0.7423225506237193,0.8616426446268034,0.8037306781748884,0.6609685470559971,-0.5865571570317025,-0.24085017334338463,-0.21783678349978136,0.5231920897579644,0.365575584633904,0.6193261064630143,0.6393544215976287,1.0,0.5970790036812103,0.5398393485341573,0.4916976621928538,-0.21326839175306156,-0.32415675614324624,0.3509304067379694,0.02988907838299991,-0.261102403032216,-0.47008068887970866,-0.262541654766046,-0.2642328620737315,-0.19374211902404698,0.5950373754342848,-0.598475327167599
rededge1,0.1353926928997893,0.7437054124069404,0.9189286342235,0.6683610166279699,0.786764808798808,0.5383709920314385,-0.5221618546529587,-0.530093614420797,-0.4786224756413919,0.6808447244359024,0.41535541735583004,0.4871186153673995,0.4298725805662521,0.5970790036812103,1.0,0.7613359339620193,0.7985698584992857,-0.4597870228893176,-0.2510641435783197,0.1261126161868453,0.22226361435605146,0.16962194012537324,-0.7755213861971351,-0.7699274844461372,-0.49229957329450597,0.40509258820831595,0.33512434976116073,-0.33784857066079693
rededge2,0.2686584294852731,0.9619561318303712,0.718084323852357,0.45911429162427353,0.522964764025492,0.8261271763874111,-0.5394610752019012,-0.22044470189561716,-0.3329383255420317,0.9849673881271309,0.67654739660045,0.8396499108740513,0.7861819200280658,0.5398393485341573,0.7613359339620193,1.0,0.9907745557765774,-0.1878856112882812,0.28828121485534164,-0.3176796018243159,-0.37865386268452855,0.3330495530219841,-0.5685115012122033,-0.7078881590926255,0.10460602845762568,0.27722763563281133,0.6096329770353207,-0.6045148908298642
rededge3,0.22928000018465192,0.9581957940396988,0.7228508483560094,0.43019741957831575,0.5145177799437802,0.7684561846707073,-0.5109546456159453,-0.26919630429223723,-0.3635134529239364,0.9698099247671049,0.674852077300139,0.7749020225526395,0.7077718679220952,0.4916976621928538,0.7985698584992857,0.9907745557765774,1.0,-0.20011758202331503,0.2745662932304963,-0.3258401168962033,-0.3141827233777088,0.36879047155860206,-0.5949764339607784,-0.7449607007118646,0.05461319797107922,0.3555202802852929,0.5258155644522485,-0.5219134625303002
cai,-0.07070297307212955,-0.19934004376074013,-0.6008080920809861,-0.6616480053705611,-0.6973442966256288,-0.1571074696036553,0.36371036570714027,0.36751191151304985,0.3332385168636774,-0.16238670956371506,0.010471405106621614,-0.16366194253134506,-0.1535435500161622,-0.21326839175306156,-0.4597870228893176,-0.1878856112882812,-0.20011758202331503,1.0,0.5629129599656815,-0.555988155269507,-0.4626519410145768,0.37036776562077967,0.5480858633124103,0.19205882526064053,0.45882868343564037,0.26765369062801825,-0.24324377888192686,0.24771357309724032
ndvi,0.04639743221927491,0.3282711561845998,-0.3877934630247123,-0.5615338681733579,-0.5923449969633959,0.22796249173252012,0.21324094609310973,0.43065631410538074,0.31723483276447445,0.321143261551544,0.29247260767432554,0.21172864985743511,0.19502575783257442,-0.32415675614324624,-0.2510641435783197,0.28828121485534164,0.2745662932304963,0.5629129599656815,1.0,-0.939674335752691,-0.757833001591313,0.5656473292226343,0.4114837476261061,-0.01746648320387896,0.8672032543023765,0.3036155666303181,0.00317981155272348,0.004195946715080358
ndwi,0.03128886426403834,-0.36951102550545983,0.2885241484043535,0.5686968184703004,0.5708056270957939,-0.18232413860380148,-0.19544218777196012,-0.330244538669942,-0.2546682911124996,-0.33249582863331445,-0.31437436590526086,-0.15406580021554991,-0.11911302558017275,0.3509304067379694,0.1261126161868453,-0.3176796018243159,-0.3258401168962033,-0.555988155269507,-0.939674335752691,1.0,0.7015044483186317,-0.8072809883704926,-0.37879890123109444,0.21958828797252636,-0.7631468522263051,-0.4105649091380221,0.11283852721968629,-0.1232822605637004
mndwi,-0.1974223231051759,-0.34504703023863315,0.19607206617844858,0.28170749798212313,0.35788155014544815,-0.44957504419058253,0.13682990467562464,-0.44100831973387555,-0.29648302083219147,-0.46708096286558004,-0.43185111453408054,-0.5872973681307072,-0.5832687026334069,0.02988907838299991,0.22226361435605146,-0.37865386268452855,-0.3141827233777088,-0.4626519410145768,-0.757833001591313,0.7015044483186317,1.0,-0.4347244072138783,-0.3522968048392848,0.028299160101424043,-0.8086275674451321,0.07099684861815798,-0.39594077198466265,0.3897782055474545
ndti,-0.1089374151317818,0.38128040311575057,0.015084926032385012,-0.39355999539378894,-0.3380126213082138,0.12319856610025844,0.07883090064331744,0.07295475846378618,0.05526900964999969,0.3081269668876411,0.2992766209678624,0.08459426046776923,0.032631584564240895,-0.261102403032216,0.16962194012537324,0.3330495530219841,0.36879047155860206,0.37036776562077967,0.5656473292226343,-0.8072809883704926,-0.4347244072138783,1.0,0.1661464699876875,-0.5561553168926062,0.35813757648954825,0.47505084631431377,-0.20283755623515293,0.21582788673010678
b_g,-0.17818320626273298,-0.5806162569835361,-0.7871511900985203,-0.5942932144340811,-0.7735773676749726,-0.40683291813865985,0.5055882029813854,0.572205748447391,0.7031217734415518,-0.531315120555324,-0.3206308497845614,-0.4463074716682088,-0.40692971896870256,-0.47008068887970866,-0.7755213861971351,-0.5685115012122033,-0.5949764339607784,0.5480858633124103,0.4114837476261061,-0.37879890123109444,-0.3522968048392848,0.1661464699876875,1.0,0.7118033478599488,0.564717843621976,-0.15717708871259484,-0.4618594070976919,0.4623587064171505
b_r,-0.09687014311859998,-0.7433245628622656,-0.6905227681986718,-0.26004707516720665,-0.43868306512146477,-0.46660275172501087,0.38642730202960096,0.39453578302294945,0.5105244402820459,-0.6597437748955288,-0.47012372813004916,-0.46435384622710696,-0.40568907806244864,-0.262541654766046,-0.7699274844461372,-0.7078881590926255,-0.7449607007118646,0.19205882526064053,-0.01746648320387896,0.21958828797252636,0.028299160101424043,-0.5561553168926062,0.7118033478599488,1.0,0.23816293406613132,-0.42996801501805476,-0.28235338982552977,0.2730781151601288
mci,0.06261030588968677,0.15703700037943905,-0.44805265135494654,-0.4506424190381104,-0.5628971774903211,0.21190657894953865,0.16329632118557785,0.5729016084395735,0.4335381378021979,0.18373031960356334,0.24345358660137564,0.23457289114590288,0.24730507079479097,-0.2642328620737315,-0.49229957329450597,0.10460602845762568,0.05461319797107922,0.45882868343564037,0.8672032543023765,-0.7631468522263051,-0.8086275674451321,0.35813757648954825,0.564717843621976,0.23816293406613132,1.0,-0.19251832620362797,0.09579829053744549,-0.08637295857323032
ndci,-0.09491282343597277,0.2547172167295229,0.030809956406057708,-0.2981076584561418,-0.15813314768010622,-0.04942878723547609,0.16541990549616012,-0.20653164716969916,-0.0975077671687435,0.18993855932509843,0.06792987171315573,-0.1351810407880927,-0.1979308438607852,-0.19374211902404698,0.40509258820831595,0.27722763563281133,0.3555202802852929,0.26765369062801825,0.3036155666303181,-0.4105649091380221,0.07099684861815798,0.47505084631431377,-0.15717708871259484,-0.42996801501805476,-0.19251832620362797,1.0,-0.3054253034555298,0.3009895101866229
y,0.43465294978659574,0.5747778883310803,0.5102315857535904,0.529946234359259,0.5237797738382146,0.7155917279915897,-0.6481342334600164,-0.11705058992884733,-0.28498266601220795,0.644885769886934,0.39425834977585844,0.8650384146917659,0.9004472661091077,0.5950373754342848,0.33512434976116073,0.6096329770353207,0.5258155644522485,-0.24324377888192686,0.00317981155272348,0.11283852721968629,-0.39594077198466265,-0.20283755623515293,-0.4618594070976919,-0.28235338982552977,0.09579829053744549,-0.3054253034555298,1.0,-0.9981037350712681
x,-0.4413913331161008,-0.5704777651443604,-0.5107681523141947,-0.5348502350420995,-0.5283579974273127,-0.7091441841052197,0.6521167123236057,0.12299133921650464,0.2708807138617393,-0.640382902084881,-0.3901635051030887,-0.862536566484136,-0.8966388447760449,-0.598475327167599,-0.33784857066079693,-0.6045148908298642,-0.5219134625303002,0.24771357309724032,0.004195946715080358,-0.1232822605637004,0.3897782055474545,0.21582788673010678,0.4623587064171505,0.2730781151601288,-0.08637295857323032,0.3009895101866229,-0.9981037350712681,1.0
