,cc_id,nir,red,blue,green,emad,smad,bcmad,count,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,cai,ndvi,evi,savi,ndwi,mndwi,ndti,b_g,b_r,mci,ndci,ln_bg
rededge2,0.13240406559874626,0.975156090602593,0.46820053309710363,0.15116960429315876,0.36318190789339116,0.46748590431373116,-0.8177471470636719,-0.7990588939419907,-0.23034016859752077,0.9939286577132006,0.8851187772833908,0.91552848125065,0.8049542251600934,-0.04953669840553785,0.7509760044126639,1.0,0.9974561631043516,-0.22950125678487543,0.8117297864982281,0.17447670322520054,0.8117297864982281,-0.85647112131203,-0.7957972973017575,0.23677926269958427,-0.6872267898286049,-0.6219040818329861,0.7688816813730084,0.7216240413565634,-0.739264108799634
rededge3,0.15426258202624496,0.9756816251948462,0.42296213241830743,0.10920860083560509,0.3268075228871293,0.4421034716372371,-0.819301534494068,-0.8002146982305245,-0.2313343872416132,0.9976350692139346,0.8942405953633121,0.8954438995264655,0.7735070217749126,-0.08554778583231665,0.717714048473189,0.9974561631043516,1.0,-0.198197583958573,0.8306082807216254,0.17565378507690274,0.8306082807216254,-0.8718501400452787,-0.8044765261278211,0.20337447338277798,-0.695282751733207,-0.6120083155857655,0.7996470035702977,0.7513255639076606,-0.7506637893890451
cai,0.4356743669135301,-0.20721501904008705,-0.7273642214185699,-0.8410744596853286,-0.82649775845564,-0.451030622001524,0.28410571047969235,0.379496975231907,0.26299011277099404,-0.17606002590943282,-0.15542841980192063,-0.3252205273276142,-0.389112896317524,-0.44677622320522353,-0.5760333164310307,-0.22950125678487543,-0.198197583958573,1.0,0.2150979698657792,-0.06215547781857161,0.2150979698657792,-0.18320619072946653,-0.24684119845752134,-0.05905040371541279,0.35896012646135045,0.15851779295372173,0.17393528594828875,0.24669113647899787,0.304796749640021
ndvi,0.3921408938856398,0.8394116151049813,-0.006783737176169133,-0.3444941073312749,-0.14892743682095172,0.1846084770559755,-0.6491576549200866,-0.5609036231953951,-0.04647867202914544,0.8426411349759853,0.7527641449850062,0.6488160632075589,0.49690367976377775,-0.45408744940727175,0.32495887248694616,0.8117297864982281,0.8306082807216254,0.2150979698657792,1.0,0.16424688531975534,1.0,-0.9734114458071482,-0.9099653857550098,0.09862621426720918,-0.455810432466113,-0.4089773168904446,0.9345109553329031,0.815663491860492,-0.5321446590729512
evi,0.02385754658176807,0.17972083295836808,0.05083657851437917,0.06003563902915512,0.07041064552564015,0.06758899222863071,-0.1460849769103145,-0.1455225802329415,-0.018102872040306976,0.17711020336388267,0.1557631091435428,0.15495958158502485,0.13798297591028647,-0.0016738691571733498,0.10382143292427949,0.17447670322520054,0.17565378507690274,-0.06215547781857161,0.16424688531975534,1.0,0.16424688531975534,-0.1523208039255071,-0.13103492949972678,-0.043393314745723596,-0.10837716604010642,0.007595846323638935,0.1635151021738581,0.12781886932355233,-0.11869709723703961
savi,0.3921408938856398,0.8394116151049813,-0.006783737176169133,-0.3444941073312749,-0.14892743682095172,0.1846084770559755,-0.6491576549200866,-0.5609036231953951,-0.04647867202914544,0.8426411349759853,0.7527641449850062,0.6488160632075589,0.49690367976377775,-0.45408744940727175,0.32495887248694616,0.8117297864982281,0.8306082807216254,0.2150979698657792,1.0,0.16424688531975534,1.0,-0.9734114458071482,-0.9099653857550098,0.09862621426720918,-0.455810432466113,-0.4089773168904446,0.9345109553329031,0.815663491860492,-0.5321446590729512
ndwi,-0.4159670984978831,-0.8904495791908263,-0.06837770828044051,0.31538040608838314,0.11243517306995526,-0.19244011446584247,0.6388984585628543,0.5559146687154984,0.027760146051859835,-0.8841652252960148,-0.7686325840642939,-0.7166081018155557,-0.571478355835024,0.4467341801746909,-0.3879742508653931,-0.85647112131203,-0.8718501400452787,-0.18320619072946653,-0.9734114458071482,-0.1523208039255071,-0.9734114458071482,1.0,0.9328259857263406,-0.20839914409133672,0.438225993514607,0.48874219600918756,-0.9291201159934341,-0.7895160125059276,0.522555523659888
mndwi,-0.4308616951646159,-0.7853281360734092,-0.0415075433571625,0.342812550070655,0.1806860370285494,-0.12643980069153568,0.5944629910201138,0.46765288943426647,-0.04138881939295413,-0.8256123125673585,-0.7231445608398658,-0.738297579734678,-0.6280096911624048,0.43893761428940226,-0.34076521586388814,-0.7957972973017575,-0.8044765261278211,-0.24684119845752134,-0.9099653857550098,-0.13103492949972678,-0.9099653857550098,0.9328259857263406,1.0,-0.3131937618689015,0.2812657013560129,0.45836279133247004,-0.8191986956127854,-0.7044993158469125,0.3606827104813994
ndti,-0.07514134041816076,0.2168498622182671,0.5337120037076295,0.13827737806516613,0.1904109176661618,0.3931577788441637,-0.14780747819116052,-0.058092059299411025,-0.04783145667507815,0.1843436275067502,0.13860680341632625,0.36034895807314543,0.42740707195430544,0.10501511148212685,0.4863269385670891,0.23677926269958427,0.20337447338277798,-0.05905040371541279,0.09862621426720918,-0.043393314745723596,0.09862621426720918,-0.20839914409133672,-0.3131937618689015,1.0,0.045764188457590824,-0.6968659939294831,-0.07289756034549248,-0.07510853837379276,0.0478805633267764
b_g,0.2403663312409701,-0.6729221495258108,-0.4734669162261964,-0.32462203263261635,-0.5720981118568783,-0.5244858730576843,0.8136924910542612,0.8741404771408094,0.5810881350671224,-0.6722379109931598,-0.7349861355966749,-0.5548604791284042,-0.4391869923225598,-0.2685643705609291,-0.6912352786888579,-0.6872267898286049,-0.695282751733207,0.35896012646135045,-0.455810432466113,-0.10837716604010642,-0.455810432466113,0.438225993514607,0.2812657013560129,0.045764188457590824,1.0,0.6262713477296872,-0.47086090068265435,-0.6212750933862351,0.9912463163069808
b_r,0.10566403731507987,-0.6004647481524102,-0.592524892818131,-0.17529568988265762,-0.4019282647126439,-0.5769694503969529,0.624480922396711,0.5895440694637104,0.4048444230061517,-0.5846304087859296,-0.6063481907587187,-0.5774944095355575,-0.5241854745196971,-0.13121589659077837,-0.7420048075801028,-0.6219040818329861,-0.6120083155857655,0.15851779295372173,-0.4089773168904446,0.007595846323638935,-0.4089773168904446,0.48874219600918756,0.45836279133247004,-0.6968659939294831,0.6262713477296872,1.0,-0.3205148147390331,-0.45480028913861087,0.6361949479144616
mci,0.432945244141104,0.8246529835514783,-0.06862138728097751,-0.33334581549438164,-0.1427900060327853,0.07135493883424049,-0.6151441111137609,-0.5567132581170872,-0.04978939723390446,0.8180153590761371,0.728757913412433,0.5663637341660787,0.3918833162098882,-0.4871241219015539,0.2259792133095694,0.7688816813730084,0.7996470035702977,0.17393528594828875,0.9345109553329031,0.1635151021738581,0.9345109553329031,-0.9291201159934341,-0.8191986956127854,-0.07289756034549248,-0.47086090068265435,-0.3205148147390331,1.0,0.7864140406282978,-0.5557934058439721
ndci,0.31863862668182025,0.6970903472721476,-0.09425908204646181,-0.35465165548308314,-0.11963886425875331,0.18819013714053834,-0.6035913060201097,-0.5864853317469,-0.18833720301572857,0.7473871324188927,0.7178510607170354,0.484667800354047,0.30869567544566584,-0.3732280759378796,0.3320964873692231,0.7216240413565634,0.7513255639076606,0.24669113647899787,0.815663491860492,0.12781886932355233,0.815663491860492,-0.7895160125059276,-0.7044993158469125,-0.07510853837379276,-0.6212750933862351,-0.45480028913861087,0.7864140406282978,1.0,-0.6928709540488222
ln_bg,0.15901578111239928,-0.7293438051525993,-0.4270948874523107,-0.25013067562114416,-0.511382981252845,-0.4972581869242992,0.8229194365812831,0.8779141993772972,0.5377657534033332,-0.7300499808933997,-0.7773717120361094,-0.5827671747364374,-0.4480893369041986,-0.1813518307407543,-0.6770897569346924,-0.739264108799634,-0.7506637893890451,0.304796749640021,-0.5321446590729512,-0.11869709723703961,-0.5321446590729512,0.522555523659888,0.3606827104813994,0.0478805633267764,0.9912463163069808,0.6361949479144616,-0.5557934058439721,-0.6928709540488222,1.0
